Data Center,Latitude ,Longitude,Pre-Construction Year,Post-Construction Year
Apple Mesa Data Center,33.346964,-111.604233,2014,2025
GDC Phoenix PH1-6 DC,33.354547,-111.616644,2020,2025
Meta Mesa Building 1-5,33.346644,-111.629514,2020,2025
EdgeCore PH01-05,33.344356,-111.621339,2016,2025
Google Mesa - Phase 1 -3,33.352703,-111.673797,2020,2025
Compass Goodyear - Building 1-7,33.4393,-112.3472,2016,2025
Vantage AZ11-15,33.4418,-112.3571,2020,2025
Microsoft Goodyear Airpark (PH10-15),33.4354,-112.3576,2018,2025
"Stream DC Phoenix I-VI, Goodyear Campus",33.425,-112.3643,2018,2025
STACK Infrastructure PHX01A-C,33.4242,-112.3628,2018,2025
Prime Phoenix PHX01-01-05,33.4268,-112.3508,2020,2025
Cyprus One PHX1-8,33.2924,-111.8414,2010,2025
Aligned PHX04/06,33.2962,-111.8765,2020,2025
H5 Data Centers Phoenix,33.3149,-111.9234,2010,2025
Microsoft El Mirage (PHX80-83),33.5629,-112.3389,2018,2025
"Aligned PHX07, 12-14",33.5793,-112.3934,2020,2025
"Switch Las Vegas 7-12, 15",36.0614,-115.2189,2004,2025
Switch Las Vegas 2-6,36.0614,-115.2189,2000,2025
Lumen Las Vegas 2,36.143325,-115.07935,1998,2025
Google Henderson Data Center 1-2,36.0078,-115.0086,2018,2025
